Trans #,Date,Description,Account,Name,Code,Tax Code,Split,Debit,Credit,Amount,Account Type
"365,637",31/07/2023,Funds Transfer,1221,UHI 2nd Account,1-1221,N-T,1222 · Universal Home Improvements Acc,,"13,706.96","-13,706.96",Bank
"365,637",31/07/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1221 · UHI 2nd Account,"13,706.96",,"13,706.96",Bank
"365,700",31/07/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1208 · NAB Qantas Business Card,,"52,000.00","-52,000.00",Bank
"365,700",31/07/2023,Funds Transfer,1208,NAB Qantas Business Card,1-1208,N-T,1222 · Universal Home Improvements Acc,"52,000.00",,"52,000.00",Bank
"366,067",03/08/2023,Funds Transfer,1232,Loan to UHI Investments,1-1232,N-T,1227 · Loan to Bemeko,,"400,000.00","-400,000.00",Other Current Asset
"366,067",03/08/2023,Funds Transfer,1227,Loan to Bemeko,1-1227,N-T,1232 · Loan to UHI Investments,"400,000.00",,"400,000.00",Other Current Asset
"366,123",03/08/2023,Funds Transfer,1204,Choices Flooring Noosaville,1-1204,N-T,1222 · Universal Home Improvements Acc,,"60,000.00","-60,000.00",Bank
"366,123",03/08/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1204 · Choices Flooring Noosaville,"60,000.00",,"60,000.00",Bank
"366,126",03/08/2023,Funds Transfer,1221,UHI 2nd Account,1-1221,N-T,1222 · Universal Home Improvements Acc,,"31,713.41","-31,713.41",Bank
"366,126",03/08/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1221 · UHI 2nd Account,"31,713.41",,"31,713.41",Bank
"366,127",03/08/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1208 · NAB Qantas Business Card,,"60,000.00","-60,000.00",Bank
"366,127",03/08/2023,Funds Transfer,1208,NAB Qantas Business Card,1-1208,N-T,1222 · Universal Home Improvements Acc,"60,000.00",,"60,000.00",Bank
"366,415",11/08/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1208 · NAB Qantas Business Card,,"52,739.38","-52,739.38",Bank
"366,415",11/08/2023,Funds Transfer,1208,NAB Qantas Business Card,1-1208,N-T,1222 · Universal Home Improvements Acc,"52,739.38",,"52,739.38",Bank
"367,039",15/08/2023,Funds Transfer,1204,Choices Flooring Noosaville,1-1204,N-T,1222 · Universal Home Improvements Acc,,"65,000.00","-65,000.00",Bank
"367,039",15/08/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1204 · Choices Flooring Noosaville,"65,000.00",,"65,000.00",Bank
"367,168",17/08/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1206 · Long Service Leave Account,,"50,000.00","-50,000.00",Bank
"367,168",17/08/2023,Funds Transfer,1206,Long Service Leave Account,1-1206,N-T,1222 · Universal Home Improvements Acc,"50,000.00",,"50,000.00",Bank
"367,235",17/08/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1208 · NAB Qantas Business Card,,"50,000.00","-50,000.00",Bank
"367,235",17/08/2023,Funds Transfer,1208,NAB Qantas Business Card,1-1208,N-T,1222 · Universal Home Improvements Acc,"50,000.00",,"50,000.00",Bank
